BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
