BBR_latency,CUBIC_latency,Buffer,Bandwidth,rtt
8.67,8.52,10000,100,75
8.66,8.50,10000,100,75
8.63,8.52,10000,100,75
8.65,8.51,10000,100,100
8.66,8.52,10000,100,100
8.67,8.48,10000,100,100
8.67,8.52,10000,100,100
8.65,8.49,10000,100,100
8.64,8.47,10000,100,150
8.63,8.47,10000,100,150
8.66,8.52,10000,100,150
8.63,8.50,10000,100,150
8.67,8.48,10000,100,150
8.67,8.52,10000,100,200
8.67,8.48,10000,100,200
8.64,8.48,10000,100,200
8.64,8.48,10000,100,200
8.63,8.50,10000,100,200
3.47,3.43,10000,250,5
3.47,3.42,10000,250,5
3.46,3.42,10000,250,5
3.47,3.43,10000,250,5
3.49,3.44,10000,250,5
3.50,3.44,10000,250,10
3.48,3.41,10000,250,10
3.49,3.42,10000,250,10
3.48,3.42,10000,250,10
3.48,3.43,10000,250,10
3.47,3.43,10000,250,25
3.49,3.41,10000,250,25
3.49,3.41,10000,250,25
3.49,3.41,10000,250,25
3.47,3.43,10000,250,25
3.49,3.44,10000,250,50
3.48,3.44,10000,250,50
3.50,3.41,10000,250,50
3.49,3.42,10000,250,50
3.48,3.43,10000,250,50
3.49,3.44,10000,250,75
3.49,3.43,10000,250,75
3.47,3.40,10000,250,75
3.47,3.41,10000,250,75
3.48,3.42,10000,250,75
3.47,3.43,10000,250,100
3.47,3.43,10000,250,100
3.51,3.42,10000,250,100
3.47,3.42,10000,250,100
3.49,3.44,10000,250,100
3.47,3.43,10000,250,150
3.47,3.41,10000,250,150
3.48,3.44,10000,250,150
3.49,3.43,10000,250,150
3.49,3.43,10000,250,150
3.49,3.42,10000,250,200
3.47,3.40,10000,250,200
3.47,3.43,10000,250,200
3.47,3.42,10000,250,200
3.49,3.43,10000,250,200
1.77,1.76,10000,500,5
1.78,1.72,10000,500,5
1.79,1.74,10000,500,5
1.73,1.71,10000,500,5
1.75,1.75,10000,500,5
1.75,1.75,10000,500,10
1.76,1.72,10000,500,10
1.78,1.73,10000,500,10
1.78,1.72,10000,500,10
1.76,1.73,10000,500,10
1.76,1.74,10000,500,25
1.78,1.73,10000,500,25
1.76,1.73,10000,500,25
1.76,1.74,10000,500,25
1.79,1.75,10000,500,25
1.74,1.72,10000,500,50
1.78,1.74,10000,500,50
1.76,1.74,10000,500,50
1.76,1.72,10000,500,50
1.76,1.72,10000,500,50
1.76,1.75,10000,500,75
1.80,1.72,10000,500,75
1.74,1.71,10000,500,75
1.79,1.72,10000,500,75
1.77,1.74,10000,500,75
1.77,1.72,10000,500,100
1.77,1.75,10000,500,100
1.74,1.74,10000,500,100
1.76,1.71,10000,500,100
1.76,1.73,10000,500,100
1.77,1.74,10000,500,150
1.74,1.72,10000,500,150
1.76,1.73,10000,500,150
1.77,1.73,10000,500,150
1.79,1.73,10000,500,150
1.78,1.73,10000,500,200
1.76,1.73,10000,500,200
1.78,1.72,10000,500,200
1.75,1.76,10000,500,200
1.76,1.72,10000,500,200
1.16,1.14,10000,750,5
1.16,1.14,10000,750,5
1.15,1.14,10000,750,5
